"Error!","Error!"
"Info","Info"
"Success","Success"
"Alert","Alert"
"Edit Seller '%s'","Edit Seller '%s'"
"MAIN NAVIGATION","MAIN NAVIGATION"
"Edit Group '%s'","Edit Group '%s'"
"Manage Seller Profile Form","Manage Seller Profile Form"
"Manage Seller Registration Form","Manage Seller Registration Form"
"You don't have permission to access this page","You don't have permission to access this page"
"Your seller account has been created and awaiting for approval.","Your seller account has been created and awaiting for approval."
"Your seller account has been created.","Your seller account has been created."
"POST data is invalid","POST data is invalid"
"404 page not found","404 page not found"
"Account","Account"
"Your account is not a seller account.","Your account is not a seller account."
"Your seller's account status is %1. You can not access to this page.","Your seller's account status is %1. You can not access to this page."
"Vendor Approval","Vendor Approval"
"There is a vendor awaiting for your approval.<br /><a href=\"%1\">Click here</a> to review the vendor account.","There is a vendor awaiting for your approval.<br /><a href=\"%1\">Click here</a> to review the vendor account."
"Your seller account has been created and awaiting for approval.","Your seller account has been created and awaiting for approval."
"Your seller account has been created.","Your seller account has been created."
"-- Please Select --","-- Please Select --"
"Customer object is not set at line %1 in file %2","Customer object is not set at line %1 in file %2"
"Vendor id is already in used.","Vendor id is already in used."
"Disable","Disable"
"Your account is not associated to any vendor account","Your account is not associated to any vendor account"
"Your seller account status is %1, You are not allowed to access this page","Your seller account status is %1, You are not allowed to access this page"
"Your seller account status is %1, You can not access to this function","Your seller account status is %1, You can not access to this function"
"Oops! Page not found.","Oops! Page not found."
"We could not find the page you were looking for. Meanwhile, you may <a href=\"%1\">return to dashboard</a>.","We could not find the page you were looking for. Meanwhile, you may <a href=\"%1\">return to dashboard</a>."
"Version","Version"
"Toggle navigation","Toggle navigation"
"Home","Home"
"Buyer Dashboard","Buyer Dashboard"
"Logout","Logout"
"Joined since %1","Joined since %1"
"There is no notification.","There is no notification."
"Profile Form","Profile Form"
"There is a problem occurred. Please try again.","There is a problem occurred. Please try again."
"Add/Edit Fieldset","Add/Edit Fieldset"
"The fieldset is saved!","The fieldset is saved!"
"Add/Edit Fieldset","Add/Edit Fieldset"
"Add/Edit Fieldset","Add/Edit Fieldset"
"Please enter a fieldset title.","Please enter a fieldset title."
"Add Fieldset","Add Fieldset"
"Edit Fieldset","Edit Fieldset"
"Delete Fieldset","Delete Fieldset"
"Are you sure?","Are you sure?"
"The fieldset is deleted!","The fieldset is deleted!"
"Online","Online"
"%1 Sales","%1 Sales"
"We couldn\'t find any records.","We couldn\'t find any records."
"Delete Image","Delete Image"
"Delete File","Delete File"
"View Full Size","View Full Size"
"Download","Download"
"Home","Home"
"Vendor Information","Vendor Information"
"Vendor Data","Vendor Data"
"Please select","Please select"
"New Seller","New Seller"
"Seller Information","Seller Information"
"Please select","Please select"
"Vendor Data","Vendor Data"
"Seller Dashboard","Seller Dashboard"
"Save Seller","Save Seller"
"View Customer Account","View Customer Account"
"Save and Continue Edit","Save and Continue Edit"
"New Seller","New Seller"
"Manage Vendors","Manage Vendors"
"Add New Vendor","Add New Vendor"
"Add New Block","Add New Block"
"Manage Groups","Manage Groups"
"Add New Groups","Add New Group"
"Add New Block","Add New Block"
"Vendors Attributes","Vendors Attributes"
"Add New Attribute","Add New Attribute"
"Group Information","Group Information"
"Group","Group"
"Transaction Id","Transaction Id"
"ID","ID"
"Vendor Id","Vendor Id"
"First name","First name"
"Last name","Last name"
"Phone","Phone"
"Email","Email"
"Status","Status"
"Sellers","Sellers"
"Group Information","Group Information"
"Save Group","Save Group"
"New Group","New Group"
"Attribute Information","Attribute Information"
"Properties","Properties"
"Manage Labels","Manage Labels"
"Advanced Attribute Properties","Advanced Attribute Properties"
"Attribute Code","Attribute Code"
"Default Value","Default Value"
"Unique Value","Unique Value"
"Unique Value (not shared with other products)","Unique Value (not shared with other vendors)"
"Not shared with other products","Not shared with other vendors"
"Input Validation for Store Owner","Input Validation for Store Owner"
"Allowed file extensions","Allowed file extensions"
"Separated by comma (e.g. jpg,png,gif)","Separated by comma (e.g. jpg,png,gif)"
"Is Used in Profile Form","Is Used in Profile Form"
"Is Used in Registration Form","Is Used in Registration Form"
"Position","Position"
"File","File"
"Save in New Attribute Set","Save in New Attribute Set"
"Enter Name for New Attribute Set","Enter Name for New Attribute Set"
"Save Attribute","Save Attribute"
"Delete Attribute","Delete Attribute"
"Edit Product Attribute \"%1\"","Edit Product Attribute \"%1\""
"New Product Attribute","New Product Attribute"
"Save Changes","Save Changes"
"Seller Login","Seller Login"
"Register a Seller Account","Register a Seller Account"
"Invalid login or password.","Invalid login or password."
"An unspecified error occurred. Please contact us for assistance.","An unspecified error occurred. Please contact us for assistance."
"A login and a password are required.","A login and a password are required."
"Page not found.","Page not found."
"You account information is saved.","You account information is saved."
"Something went wrong while saving the seller data. Please review the error log.","Something went wrong while saving the seller data. Please review the error log."
"You account information is saved.","You account information is saved."
"Marketplace","Marketplace"
"Seller Attributes","Seller Attributes"
"Page not found.","Page not found."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"You saved the vendor.","You saved the vendor."
"Manage Sellers","Manage Sellers"
"This Seller no longer exists.","This Seller no longer exists."
"Manage Seller","Manage Seller"
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Wrong group specified.","Wrong group specified."
"The group has been deleted.","The group has been deleted."
"Something went wrong while deleting the group data. Please review the error log.","Something went wrong while deleting the group data. Please review the error log."
"You saved the seller group.","You saved the seller group."
"This group no longer exists.","This group no longer exists."
"Manage Seller Groups","Manage Seller Groups"
"New Seller Group","New Seller Group"
"Edit Seller Group","Edit Seller Group"
"We can't delete the attribute.","We can't delete the attribute."
"You deleted the vendor attribute.","You deleted the vendor attribute."
"We can't find an attribute to delete.","We can't find an attribute to delete."
"This attribute no longer exists.","This attribute no longer exists."
"We can't update the attribute.","We can't update the attribute."
"You saved the vendor attribute.","You saved the vendor attribute."
"This attribute cannot be edited.","This attribute cannot be edited."
"New Vendor Attribute","New Vendor Attribute"
"An attribute with this code already exists.","An attribute with this code already exists."
"An attribute with the same code (%1) already exists.","An attribute with the same code (%1) already exists."
"Manage Profile Form","Manage Profile Form"
"Something went wrong while saving the form data.<br />","Something went wrong while saving the form data.<br />"
"The post data is not valid.","The post data is not valid."
"Wrong fieldset specified.","Wrong fieldset specified."
"Something went wrong while saving the group data. Please review the error log.","Something went wrong while saving the group data. Please review the error log."
"Manage Registration Form","Manage Registration Form"
"Edit","Edit"
"There are <strong>%1</strong> vendors awaiting for your approval.<br /><a href=\"%2\">Click here</a> to review the vendor accounts.","There are <strong>%1</strong> vendors awaiting for your approval.<br /><a href=\"%2\">Click here</a> to review the vendor accounts."
"We can't find the image file.","We can't find the image file."
"Please enter vendor id.","Please enter vendor id."
"Please enter address.","Please enter address."
"Please enter country.","Please enter country."
"Please enter a phone number","Please enter a phone number"
"Use Frontend Theme","Use Frontend Theme"
"Use Separated Seller Panel","Use Separated Seller Panel"
"Combine with Customer Login/Registration Form","Combine with Customer Login/Registration Form"
"Use separated Seller Login/Registration Page","Use separated Seller Login/Registration Page"
"Pending","Pending"
"Approved","Approved"
"Disabled","Disabled"
"Expired","Expired"
"%1 (Default)","%1 (Default)"
"Short Description must be less than %1 characters","Short Description must be less than %1 characters"
"Please specify the vendor custom URL.","Please specify the vendor custom URL."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Store View:","Store View:"
"Stores Configuration","Stores Configuration"
"Please confirm scope switching. All data that hasn\'t been saved will be lost.","Please confirm scope switching. All data that hasn\'t been saved will be lost."
"Logo","Logo"
"My Account","My Account"
"Account Setting","Account Setting"
"Customer View","Customer View"
"Sign Out","Sign Out"
"About the calendar","About the calendar"
"Close","Close"
"Notifications","Notifications"
"Available Attributes","Available Attributes"
"The entered title is not valid !","The entered title is not valid !"
"New Seller Account","New Seller Account"
"Creating a seller account now to start selling your goods.","Creating a seller account now to start selling your goods."
"Create an Account","Create an Account"
"Personal Information","Personal Information"
"Create Seller Account","Create Seller Account"
"Open seller account","Open seller account"
"Registered Seller","Registered Seller"
"Online","Online"
"Configuration","Configuration"
"Manage Attributes","Manage Attributes"
"Location","Location"
"Copyright","Copyright"
"All rights reserved.","All rights reserved."
