"Add configurable attributes to the current Attribute Set (""%1"")","Add configurable attributes to the current Attribute Set (""%1"")"
"Add configurable attributes to the new Attribute Set based on current","Add configurable attributes to the new Attribute Set based on current"
"New attribute set name","New attribute set name"
"Add configurable attributes to the existing Attribute Set","Add configurable attributes to the existing Attribute Set"
"Choose existing Attribute Set","Choose existing Attribute Set"
"Save Product","Save Product"
"Save & Submit for Approval","Save & Submit for Approval"
"Save & New","Save & New"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
"Configuration must have specified attributes","Configuration must have specified attributes"
"Choose Affected Attribute Set","Choose Affected Attribute Set"
"Add configurable attributes to the current Attribute Set","Add configurable attributes to the current Attribute Set"
Confirm,Confirm
"New Attribute Set Name","New Attribute Set Name"
"Step 2: Attribute Values","Step 2: Attribute Values"
"Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU.","Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU."
"Sort Variations","Sort Variations"
Options,Options
"Select All","Select All"
"Deselect All","Deselect All"
"Remove Attribute","Remove Attribute"
"Save Option","Save Option"
"Remove Option","Remove Option"
"Step 3: Bulk Images, Price and Quantity","Step 3: Bulk Images, Price and Quantity"
"Based on your selections %1 new products will be created. Use this step to customize images and price for your new products.","Based on your selections %1 new products will be created. Use this step to customize images and price for your new products."
Images,Images
"Apply single set of images to all SKUs","Apply single set of images to all SKUs"
"Apply unique images by attribute to each SKU","Apply unique images by attribute to each SKU"
"Skip image uploading at this time","Skip image uploading at this time"
"Browse Files...","Browse Files..."
"Browse to find or drag image here","Browse to find or drag image here"
"Remove image","Remove image"
Hidden,Hidden
"Alt Text","Alt Text"
Role,Role
"Image Size","Image Size"
{size},{size}
"Image Resolution","Image Resolution"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","Hide from Product Page"
"Select attribute","Select attribute"
Price,Price
"Apply single price to all SKUs","Apply single price to all SKUs"
"Apply unique prices by attribute to each SKU","Apply unique prices by attribute to each SKU"
"Skip price at this time","Skip price at this time"
Quantity,Quantity
"Apply single quantity to each SKUs","Apply single quantity to each SKUs"
"Apply unique quantity by attribute to each SKU","Apply unique quantity by attribute to each SKU"
"Skip quantity at this time","Skip quantity at this time"
Select,Select
"Step 1: Select Attributes","Step 1: Select Attributes"
"Selected Attributes:","Selected Attributes:"
"Step 4: Summary","Step 4: Summary"
"New Product Review","New Product Review"
"Here are the products you're about to create.","Here are the products you're about to create."
"Associated Products","Associated Products"
"You created these products for this configuration.","You created these products for this configuration."
"Disassociated Products","Disassociated Products"
"These products are not associated.","These products are not associated."
Cancel,Cancel
"Select Associated Product","Select Associated Product"
Done,Done
"Choose a new product to delete and replace the current product configuration.","Choose a new product to delete and replace the current product configuration."
"For better results, add attributes and attribute values to your products.","For better results, add attributes and attribute values to your products."
"An attribute has been removed. This attribute will no longer appear in your configurations.","An attribute has been removed. This attribute will no longer appear in your configurations."
"Select options for all attributes or remove unused attributes.","Select options for all attributes or remove unused attributes."
"Choose this option to delete and replace extension data ","Choose this option to delete and replace extension data "
"Please select attribute for {section} section.","Please select attribute for {section} section."
"Please fill in the values for {section} section.","Please fill in the values for {section} section."
"Please fill-in correct values.","Please fill-in correct values."
"Please select image(s) for your attribute.","Please select image(s) for your attribute."
"Please choose image(s).","Please choose image(s)."
"We could not detect a size.","We could not detect a size."
"We don't recognize or support this file extension type.","We don't recognize or support this file extension type."
"When you remove or add an attribute, we automatically ","When you remove or add an attribute, we automatically "
"Please select attribute(s).","Please select attribute(s)."
SKU,SKU
"Generate Products","Generate Products"
"Something went wrong.","Something went wrong."
"Disable Product","Disable Product"
"Enable Product","Enable Product"
"Remove Product","Remove Product"
Enabled,Enabled
Disabled,Disabled
"Upload Image","Upload Image"
"No Image","No Image"
