store_name,email,phone,fax,description,address,state,city,zipcode,country_id,latitude,longitude
SEDAN MENAGER,thomas.sedan@wanadoo.fr,03 24 27 62 97,09 71 70 37 48,,4 rue de Strasbourg<br>8200 SEDAN,Aube,SEDAN,8200,FR,49.695021,4.945221
Berlin Store,berlin@gmail.com,123456789,,,boddinstrasse 4,Mecklenburg-Vorpommern,Berlin,12053,DE,52.481434,13.433594
Yoma,test@test.com,0,,,Speke Road,,Liverpool,L19 2RF,GB,26,85
Chipolte,sam@sadfasdf.com,2343344333,,,"N 48th St, Phoenix",Arizona,Phoenix,Enter your zip code here,US,33.472023,111.978093
Target,biggles898@gmail.com,23434322434,,Great Location,15448 N Pima Rd,Delaware,Scottsdale,85260,US,33.626114,-111.891096
Best Buy Stroudsburg,Keith.Scheurich@bestbuy.com,570-476-1421,,2013 COMMUNITY GRANT WINNER. CONGRATULATIONS TO Monroe County Youth Employment Services!,300 Shoppes Stroud,Armed Forces Pacific,Stroudsburg,18360,US,40.988781,-75.235458
 Crown Bakery,Gillian@crownbakery.com,01702 420666,,delivery and take away only,13 Crown Point Parade,"Croydon	",London,6320,GB,51.4224352,-0.1052941
7-11 敦信門市,service@7-11.com,02-29940456,,,敦化南路一段 329 巷 17 號,台北市,大安區,101,TW,25.034612,121.561285
DGL - Sarbamangala Store,support@dgl.biz,8100336682,,Test,FE- 512,WEST BENGAL,Kolkata,700106,IN,22.5733423,88.4137279
GEOLOCATION,vendedor@mitienda.com,5544446666,,Tienda de prueba para probar el plugin de tiendas.,Domicilio Conocido No.69,Armed Forces Pacific,Los Angeles,39400,US,19.421228,-99.07759
Gochi,test@test.fr,4040404,,,test,Alpes-Maritimes,lyon,69007,FR,33,105.8207369
ZA Store,12345@test.com,123456,1231233124,First Pickup TIme,1 K E Masinga Street,,Durban,4000,ZA,-29.850379,31.035516
TIENDA MEXICO,mail@contacto.com,5555555555,,tienda para prueba,Insurgentes sur 324,distrito federal,México,15500,MX,32,54
Filmtools Burbank,biggles898@gmail.com,8188458066,,,1400 W. Burbank Blvd.,California,Burbank,91506,US,21.0032988,105.8207369
Victoriaville,qweqwe@asdasd.com,987-9579,,asdads,2020 du finfin,Newfoundland and Labrador,Victoriaville,G6T1P8,CA,46.0733678,-71.9911797
