General Instructions,General Instructions
-------- Please select a Schedule --------,-------- Please select a Schedule --------
%1 isn\'t instance of Magento\Framework\Model\AbstractModel,%1 isn\'t instance of Magento\Framework\Model\AbstractModel
%1 isn\'t instance of Magento\Framework\Model\ResourceModel\Db\Collection\AbstractCollection,%1 isn\'t instance of Magento\Framework\Model\ResourceModel\Db\Collection\AbstractCollection
"<![CDATA[<strong>Default</strong> - Based on Sort Order of each store.<br/><strong>Distance</strong> - Based on the distances between customers' location & stores. If customers don't enter their location, stores will be listed by Default (Sort Order).<br/><strong>Alphabetical order</strong> - Based on alphabetical order of store name.]]>","<![CDATA[<strong>Default</strong> - Based on Sort Order of each store.<br/><strong>Distance</strong> - Based on the distances between customers' location & stores. If customers don't enter their location, stores will be listed by Default (Sort Order).<br/><strong>Alphabetical order</strong> - Based on alphabetical order of store name.]]>"
A total of %1 record(s) have been deleted.,A total of %1 record(s) have been deleted.
A total of %1 record(s) have been enabled.,A total of %1 record(s) have been enabled.
Add domain,Add domain
Additional Settings,Additional Settings
Address,Address
Address:,Address:
Allow Facebook comment,Allow Facebook comment
Alphabetical order,Alphabetical order
Apply to Form,Apply to Form
"At least one of the origin, destination, or waypoints could not be geocoded.","At least one of the origin, destination, or waypoints could not be geocoded."
"At least one of the origin, destination, or waypoints could not be geocoded.","At least one of the origin, destination, or waypoints could not be geocoded."
City,City
City,City
Click here,Click here
Click here or drag and drop to add images,Click here or drag and drop to add images
Click on map or drag the marker to set store position.,Click on map or drag the marker to set store position.
Close,Close
Close Break Time,Close Break Time
Close Time,Close Time
Close Time,Close Time
Closed,Closed
Comment,Comment
Comments,Comments
Contact Information,Contact Information
Country,Country
Country,Country
Create Facebook app,Create Facebook app
Create Facebook app,Create Facebook app
Date End,Date End
Date End,Date End
Date Start,Date Start
Date Start,Date Start
day(s). Store's holidays and special days within this period will be shown in frontend.,day(s). Store's holidays and special days within this period will be shown in frontend.
Default,Default
Default Radius for Search,Default Radius for Search
Delete,Delete
Delete image,Delete image
Description,Description
Disabled,Disabled
Display holidays and special days in the next,Display holidays and special days in the next
Display Top Link,Display Top Link
Distance,Distance
Distance Unit,Distance Unit
Edit Holiday,Edit Holiday
Edit Holiday %1,Edit Holiday %1
Edit Schedule,Edit Schedule
Edit Schedule %1,Edit Schedule %1
Edit Special day,Edit Special day
Edit Special day %1,Edit Special day %1
Edit Store,Edit Store
Edit Store %1,Edit Store %1
Edit Tag,Edit Tag
Edit Tag %1,Edit Tag %1
Email Address,Email Address
Email:,Email:
Enable,Enable
Enable/Disable extension in frontend,Enable/Disable extension in frontend
Enabled,Enabled
Enter a location to search,Enter a location to search
Enter a location...,Enter a location...
Error: The Geolocation service failed.,Error: The Geolocation service failed.
Facbook comment,Facbook comment
Facebook API key,Facebook API key
Fax Number,Fax Number
Fax:,Fax:
File extension not known or unsupported type.,File extension not known or unsupported type.
Fri,Fri
Friday,Friday
Friday Status,Friday Status
General,General
General Information,General Information
Get Directions,Get Directions
Get Directions,Get Directions
Go,Go
Go,Go
Google API Active,Google API Active
Google comment,Google comment
Google Map API key,Google Map API key
Google Map Location,Google Map Location
Hidden,Hidden
Holiday Information,Holiday Information
Holiday Name,Holiday Name
Holidays,Holidays
Icon,Icon
Image Gallery,Image Gallery
Images,Images
Images of %1,Images of %1
Instructions to create Facebook API Key,Instructions to create Facebook API Key
Instructions to create Facebook API Key,Instructions to create Facebook API Key
Instructions to create Google Map API Key,Instructions to create Google Map API Key
Instructions to create Google Map API Key,Instructions to create Google Map API Key
Kilometers,Kilometers
Latitude,Latitude
Limit the number of image for each store when uploading image.,Limit the number of image for each store when uploading image.
Link:,Link:
List Stores by,List Stores by
Loading...,Loading...
Locale,Locale
Location Information,Location Information
Longitude,Longitude
